2026-04-04 16:03:32 | INFO     | DataCollector        | DataCollector initialisé | Cache : data/cache
2026-04-04 16:03:32 | INFO     | DataCollector        | DataCollector initialisé | Cache : data/cache
2026-04-04 16:03:32 | INFO     | DataCollector        | Téléchargement de AAPL depuis Yahoo Finance...
2026-04-04 16:03:32 | INFO     | DataCollector        | Téléchargement de AAPL depuis Yahoo Finance...
2026-04-04 16:03:32 | ERROR    | DataCollector        |   → AAPL : Erreur de téléchargement : Failed to perform, curl: (56) CONNECT tunnel failed, response 403. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-04-04 16:03:32 | ERROR    | DataCollector        |   → AAPL : Erreur de téléchargement : Failed to perform, curl: (56) CONNECT tunnel failed, response 403. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-04-04 16:04:00 | INFO     | DataCollector        | DataCollector initialisé | Cache : data/cache
2026-04-04 16:04:00 | INFO     | DataCollector        | Téléchargement de AAPL depuis Yahoo Finance...
2026-04-04 16:04:00 | ERROR    | DataCollector        |   → AAPL : Erreur de téléchargement : Failed to perform, curl: (56) CONNECT tunnel failed, response 403. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-04-04 16:04:00 | INFO     | DataCollector        | Téléchargement de BTC-USD depuis Yahoo Finance...
2026-04-04 16:04:00 | ERROR    | DataCollector        |   → BTC-USD : Erreur de téléchargement : Failed to perform, curl: (56) CONNECT tunnel failed, response 403. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-04-04 16:04:00 | INFO     | DataCollector        | Téléchargement de GC=F depuis Yahoo Finance...
2026-04-04 16:04:00 | WARNING  | DataCollector        |   → GC=F : aucune donnée reçue (symbole invalide ?)
2026-04-04 16:04:00 | INFO     | DataPreprocessor     | Démarrage du prétraitement des données...
2026-04-04 16:04:00 | INFO     | DataPreprocessor     | Prétraitement de AAPL...
2026-04-04 16:04:00 | INFO     | DataPreprocessor     |   AAPL : prétraitement terminé (799 lignes) ✓
2026-04-04 16:04:00 | INFO     | DataPreprocessor     | Prétraitement de BTC-USD...
2026-04-04 16:04:00 | INFO     | DataPreprocessor     |   BTC-USD : prétraitement terminé (799 lignes) ✓
2026-04-04 16:04:00 | INFO     | DataPreprocessor     | Prétraitement de GC=F...
2026-04-04 16:04:00 | INFO     | DataPreprocessor     |   GC=F : prétraitement terminé (799 lignes) ✓
2026-04-04 16:04:00 | INFO     | DataPreprocessor     | Alignement des dates : 2023-03-14 → 2026-04-03
2026-04-04 16:04:00 | INFO     | DataPreprocessor     | Prétraitement terminé : 3 actifs traités
2026-04-04 16:04:02 | INFO     | FeatureEngineer      | Ingénierie des features pour AAPL…
2026-04-04 16:04:02 | DEBUG    | TechnicalFeatures    | Indicateurs techniques calculés : 26 colonnes
2026-04-04 16:04:03 | DEBUG    | StatisticalFeatures  | Features statistiques calculées : 45 colonnes
2026-04-04 16:04:03 | DEBUG    | MicrostructureFeatures | Features microstructure calculées : 56 colonnes
2026-04-04 16:04:03 | INFO     | FeatureEngineer      |   AAPL : 50 features calculées sur 589 lignes ✓
2026-04-04 16:04:03 | INFO     | FeatureEngineer      | Ingénierie des features pour BTC-USD…
2026-04-04 16:04:03 | DEBUG    | TechnicalFeatures    | Indicateurs techniques calculés : 26 colonnes
2026-04-04 16:04:04 | DEBUG    | StatisticalFeatures  | Features statistiques calculées : 45 colonnes
2026-04-04 16:04:04 | DEBUG    | MicrostructureFeatures | Features microstructure calculées : 56 colonnes
2026-04-04 16:04:04 | INFO     | FeatureEngineer      |   BTC-USD : 50 features calculées sur 589 lignes ✓
2026-04-04 16:04:04 | INFO     | FeatureEngineer      | Ingénierie des features pour GC=F…
2026-04-04 16:04:04 | DEBUG    | TechnicalFeatures    | Indicateurs techniques calculés : 26 colonnes
2026-04-04 16:04:05 | DEBUG    | StatisticalFeatures  | Features statistiques calculées : 45 colonnes
2026-04-04 16:04:05 | DEBUG    | MicrostructureFeatures | Features microstructure calculées : 56 colonnes
2026-04-04 16:04:05 | INFO     | FeatureEngineer      |   GC=F : 50 features calculées sur 589 lignes ✓
2026-04-04 16:04:05 | INFO     | RegimeDetector       | Entraînement du détecteur de régimes (4 régimes)…
2026-04-04 16:04:05 | INFO     | RegimeDetector       | Modèle HMM (Gaussian) entraîné ✓
2026-04-04 16:04:05 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:04:05 | INFO     | RegimeDetector       | RÉGIMES APPRIS PAR LE MODÈLE :
2026-04-04 16:04:05 | INFO     | RegimeDetector       | Régime           % Temps  Rendement/j   Volatilité
2026-04-04 16:04:05 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:04:05 | INFO     | RegimeDetector       |   Régime 0 (BULL    )   35.7%      -0.080%        20.3%
2026-04-04 16:04:05 | INFO     | RegimeDetector       |   Régime 1 (BEAR    )   30.2%      +0.318%        19.9%
2026-04-04 16:04:05 | INFO     | RegimeDetector       |   Régime 2 (RANGE   )   31.4%      -0.253%        22.3%
2026-04-04 16:04:05 | INFO     | RegimeDetector       |   Régime 3 (HIGH_VOL)    2.7%      +0.388%         0.0%
2026-04-04 16:04:05 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:04:05 | INFO     | RegimeDetector       | Entraînement du détecteur de régimes (4 régimes)…
2026-04-04 16:04:05 | INFO     | RegimeDetector       | Modèle HMM (Gaussian) entraîné ✓
2026-04-04 16:04:05 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:04:05 | INFO     | RegimeDetector       | RÉGIMES APPRIS PAR LE MODÈLE :
2026-04-04 16:04:05 | INFO     | RegimeDetector       | Régime           % Temps  Rendement/j   Volatilité
2026-04-04 16:04:05 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
